Q188889, P107, Q182496
Q41187, P119, Q703534
Q2008123, P155, Q204711
Q66096, P164, Q974595
Q7989983, P140, Q152074
Q2283, P124, Q148
Q380, P101, Q473750
Q142539, P100, Q783794
Q655286, P105, Q12136
Q2283, P163, Q81629287
Q5284, P104, Q56978778
Q7808625, P136, Q1941667
Q2283, P131, Q11256
Q2283, P100, Q19877531
Q13677, P109, Q381072
Q2283, P108, Q69591310
Q16933547, P176, Q148
Q2283, P100, Q100741832
Q25028451, P138, Q12603
Q17062405, P101, Q2283
Q95, P100, Q30
Q536652, P124, Q21404084
Q18704644, P124, Q14799
Q148, P133, Q64231514
Q20718, P133, Q25330322
Q502121, P151, Q483639
Q458, P136, Q92747
Q148, P104, Q3122864
Q655286, P148, Q7108
Q2283, P164, Q745099
Q8161, P129, Q795454
Q4951483, P133, Q1121708
Q332987, P164, Q668
Q148, P123, Q6030899
Q30, P164, Q380
Q30, P164, Q833986
Q655286, P105, Q4906580
Q852297, P174, Q30
Q485593, P155, Q15209696
Q202210, P107, Q748250
Q2283, P153, Q37093
Q458, P164, Q95
Q2283, P133, Q100744455
Q95, P158, Q30
Q37156, P108, Q557880
Q2283, P159, Q1520122
Q3960, P121, Q3122864
Q174198, P138, Q100742122
Q1418, P138, Q194189
Q24890758, P105, Q2798820
Q7850, P111, Q783794
Q95, P105, Q458
Q2283, P102, Q37093
Q2283, P133, Q1581373
Q5451274, P133, Q179550
Q11701, P151, Q100774573
Q13677, P109, Q100774275
Q2283, P105, Q40159073
Q183, P148, Q314180
Q2283, P175, Q941127
Q2283, P112, Q77848185
Q681362, P127, Q557880
Q458, P105, Q2283
Q35, P108, Q27968830
Q2283, P127, Q941127
Q183984, P109, Q100718154
Q2990586, P155, Q850210
Q3960, P111, Q100741522
Q169339, P105, Q8161
Q941127, P109, Q850210
Q20072274, P148, Q100782929
Q2283, P115, Q941127
Q40984, P169, Q7888559
Q13677, P109, Q381072
Q100773939, P165, Q100741489
Q2283, P113, Q973587
Q30, P129, Q100716577
Q1395399, P131, Q13371
Q186012, P129, Q828814
Q1039245, P105, Q73521791
Q2283, P108, Q16321326
Q502121, P100, Q94
Q380, P155, Q671224
Q1418, P136, Q207946
Q2283, P136, Q159
Q30, P109, Q182722
Q19900, P109, Q483639
Q6182718, P120, Q179179
Q60165187, P101, Q50005771
Q1197548, P155, Q5417841
Q2283, P166, Q18844389
Q2283, P129, Q216931
Q155, P138, Q163820
Q148, P105, Q621608
Q30, P129, Q148
Q8093, P129, Q12078
Q2283, P118, Q1418
Q13677, P109, Q100774275
Q2283, P133, Q1121708
Q183984, P129, Q312
Q1418, P133, Q15328
Q2283, P133, Q64487188
Q2283, P148, Q780442
Q909627, P117, Q18168774
Q243278, P109, Q4201895
Q2295406, P109, Q22032185
Q907311, P108, Q772989
Q22032186, P148, Q194360
Q1418, P155, Q4830453
Q677085, P165, Q22909627
Q95, P101, Q20800404
Q489943, P139, Q14001
Q941127, P109, Q850210
Q2283, P133, Q20648123
Q180816, P129, Q100774275
Q1359568, P137, Q11660
Q60022986, P108, Q100737887
Q53247, P118, Q956
Q2283, P117, Q7144498
Q2823717, P133, Q18812548
Q552581, P133, Q951374
Q13677, P109, Q80976779
Q194360, P100, Q2283
Q218630, P135, Q3050847
Q2283, P164, Q1614849
Q312, P107, Q8161
Q2283, P133, Q18168774
Q13677, P109, Q2304346
Q2283, P136, Q30
Q41187, P122, Q543
Q2766, P107, Q48493
Q142, P127, Q95
Q2283, P133, Q11255
Q148, P120, Q30
Q173395, P153, Q1145751
Q655286, P164, Q155
Q668, P138, Q380
Q2283, P101, Q96701673
Q95, P133, Q49050
Q2283, P105, Q95
Q5281, P105, Q2283
Q11201, P127, Q329777
Q2283, P133, Q4885200
Q456157, P112, Q483639
Q41187, P126, Q5014725
Q691382, P105, Q678565
Q37156, P103, Q148
Q380, P120, Q71932299
Q194360, P107, Q748250
Q2283, P136, Q850210
Q2283, P109, Q1901350
Q2283, P100, Q850210
Q22032186, P136, Q1700871
Q3347600, P138, Q6770963
Q30, P129, Q12638
Q458, P104, Q60228447
Q458, P108, Q30
Q2823717, P101, Q188628
Q95, P100, Q697327
Q132020, P129, Q62040313
Q2283, P133, Q10314316
Q2283, P160, Q3510521
Q1418, P109, Q15
Q2283, P108, Q163810
Q22032186, P129, Q29122989
Q2283, P133, Q81738547
Q5284, P133, Q1099456
Q193326, P170, Q100741388
Q36215, P131, Q1077064
Q37093, P109, Q14086
Q575782, P109, Q100774275
Q191, P164, Q370563
Q2283, P101, Q671224
Q458, P138, Q100741803
Q7547240, P100, Q2283
Q3960, P133, Q100773813
Q2283, P109, Q1901350
Q183984, P109, Q100716577
Q312, P131, Q651476
Q312, P152, Q188628
Q2283, P107, Q57751678
Q2283, P101, Q671224
Q13677, P129, Q5440399
Q507338, P129, Q8146
Q2068984, P128, Q12078
Q30, P138, Q212
Q37156, P103, Q30
Q11201, P145, Q132020
Q2283, P100, Q49740
Q11268, P125, Q22977834
Q30, P101, Q169180
Q5284, P105, Q12156
Q2283, P110, Q1215884
Q380, P136, Q77663572
Q2283, P109, Q483639
