Q188889, Q182496
Q41187, Q703534
Q2008123, Q204711
Q66096, Q974595
Q7989983, Q152074
Q2283, Q148
Q380, Q473750
Q142539, Q783794
Q655286, Q12136
Q2283, Q81629287
Q5284, Q56978778
Q7808625, Q1941667
Q2283, Q11256
Q2283, Q19877531
Q13677, Q381072
Q2283, Q69591310
Q16933547, Q148
Q2283, Q100741832
Q25028451, Q12603
Q17062405, Q2283
Q95, Q30
Q536652, Q21404084
Q18704644, Q14799
Q148, Q64231514
Q20718, Q25330322
Q502121, Q483639
Q458, Q92747
Q148, Q3122864
Q655286, Q7108
Q2283, Q745099
Q8161, Q795454
Q4951483, Q1121708
Q332987, Q668
Q148, Q6030899
Q30, Q380
Q30, Q833986
Q655286, Q4906580
Q852297, Q30
Q485593, Q15209696
Q202210, Q748250
Q2283, Q37093
Q458, Q95
Q2283, Q100744455
Q95, Q30
Q37156, Q557880
Q2283, Q1520122
Q3960, Q3122864
Q174198, Q100742122
Q1418, Q194189
Q24890758, Q2798820
Q7850, Q783794
Q95, Q458
Q2283, Q37093
Q2283, Q1581373
Q5451274, Q179550
Q11701, Q100774573
Q13677, Q100774275
Q2283, Q40159073
Q183, Q314180
Q2283, Q941127
Q2283, Q77848185
Q681362, Q557880
Q458, Q2283
Q35, Q27968830
Q2283, Q941127
Q183984, Q100718154
Q2990586, Q850210
Q3960, Q100741522
Q169339, Q8161
Q941127, Q850210
Q20072274, Q100782929
Q2283, Q941127
Q40984, Q7888559
Q13677, Q381072
Q100773939, Q100741489
Q2283, Q973587
Q30, Q100716577
Q1395399, Q13371
Q186012, Q828814
Q1039245, Q73521791
Q2283, Q16321326
Q502121, Q94
Q380, Q671224
Q1418, Q207946
Q2283, Q159
Q30, Q182722
Q19900, Q483639
Q6182718, Q179179
Q60165187, Q50005771
Q1197548, Q5417841
Q2283, Q18844389
Q2283, Q216931
Q155, Q163820
Q148, Q621608
Q30, Q148
Q8093, Q12078
Q2283, Q1418
Q13677, Q100774275
Q2283, Q1121708
Q183984, Q312
Q1418, Q15328
Q2283, Q64487188
Q2283, Q780442
Q909627, Q18168774
Q243278, Q4201895
Q2295406, Q22032185
Q907311, Q772989
Q22032186, Q194360
Q1418, Q4830453
Q677085, Q22909627
Q95, Q20800404
Q489943, Q14001
Q941127, Q850210
Q2283, Q20648123
Q180816, Q100774275
Q1359568, Q11660
Q60022986, Q100737887
Q53247, Q956
Q2283, Q7144498
Q2823717, Q18812548
Q552581, Q951374
Q13677, Q80976779
Q194360, Q2283
Q218630, Q3050847
Q2283, Q1614849
Q312, Q8161
Q2283, Q18168774
Q13677, Q2304346
Q2283, Q30
Q41187, Q543
Q2766, Q48493
Q142, Q95
Q2283, Q11255
Q148, Q30
Q173395, Q1145751
Q655286, Q155
Q668, Q380
Q2283, Q96701673
Q95, Q49050
Q2283, Q95
Q5281, Q2283
Q11201, Q329777
Q2283, Q4885200
Q456157, Q483639
Q41187, Q5014725
Q691382, Q678565
Q37156, Q148
Q380, Q71932299
Q194360, Q748250
Q2283, Q850210
Q2283, Q1901350
Q2283, Q850210
Q22032186, Q1700871
Q3347600, Q6770963
Q30, Q12638
Q458, Q60228447
Q458, Q30
Q2823717, Q188628
Q95, Q697327
Q132020, Q62040313
Q2283, Q10314316
Q2283, Q3510521
Q1418, Q15
Q2283, Q163810
Q22032186, Q29122989
Q2283, Q81738547
Q5284, Q1099456
Q193326, Q100741388
Q36215, Q1077064
Q37093, Q14086
Q575782, Q100774275
Q191, Q370563
Q2283, Q671224
Q458, Q100741803
Q7547240, Q2283
Q3960, Q100773813
Q2283, Q1901350
Q183984, Q100716577
Q312, Q651476
Q312, Q188628
Q2283, Q57751678
Q2283, Q671224
Q13677, Q5440399
Q507338, Q8146
Q2068984, Q12078
Q30, Q212
Q37156, Q30
Q11201, Q132020
Q2283, Q49740
Q11268, Q22977834
Q30, Q169180
Q5284, Q12156
Q2283, Q1215884
Q380, Q77663572
Q2283, Q483639
Q13677, Q12638
Q20800404, Q30
Q2283, Q194189
Q13677, Q100716577
Q37156, Q77663572
Q13677, Q80976779
Q13677, Q100774275
Q13677, Q2304346
Q2719715, Q668
Q23957588, Q1520122
Q160120, Q312
Q1431486, Q581438
Q317521, Q193701
Q1006696, Q312
Q148, Q3122864
Q928670, Q29957041
Q2283, Q215819
Q41242, Q867758
Q40984, Q1340257
Q312, Q100751548
Q881, Q20718
Q23518144, Q56119332
Q2283, Q5418962
Q1196431, Q484876
Q2283, Q37093
Q2283, Q30599924
Q66096, Q24909180
Q62, Q772989
Q27530, Q2283
Q467752, Q37093
Q234021, Q129911
Q2283, Q30
Q2283, Q30
Q507338, Q100711800
Q1739008, Q1077064
Q2283, Q13479724
Q2283, Q1134378
Q2283, Q95
Q183984, Q53536
Q137910, Q59166476
Q11701, Q19867821
Q456157, Q483639
Q95, Q458
Q2283, Q4914139
Q2283, Q18833
Q44294, Q16335785
Q1885456, Q1172486
Q100742283, Q1763845
Q333718, Q632059
Q2283, Q1763845
Q13677, Q312
