Date,News,
2015-01-02,"Bad code update triggered Yahoo, Bing search crash: source",
2015-01-06,"Sony CEO praises employees, partners for standing up to hackers",
2015-01-07,U.S. supplier in China food scare takes aim at Shanghai regulator,
2015-01-08,Owners of NBA's Hawks approve plan to sell the team,
2015-01-13,U.S. senators seek bill to spur hiring of foreign high-tech workers,
2015-01-16,Breakingviews: Wet Seal flop exposes limits of activist barks,
2015-01-19,"Davos predictions: win some, lose some",
2015-01-19,"REFILE-After Gmail blocked in China, Microsoft's Outlook hacked, says GreatFire",
2015-01-19,"After Gmail blocked in China, Microsoft's Outlook hacked, says GreatFire",
2015-01-20,Facebook report says it adds more than $200 billion to global economy,
2015-01-21,Dropbox buys U.S.-Israeli mobile document firm CloudOn,
2015-01-21,"Microsoft to give away Windows 10, unveils hologram glasses",
2015-01-21,Microsoft says Windows 10 to be free upgrade for recent buyers,
2015-01-21,Microsoft shows off holographic lens device at Windows briefing,
2015-01-21,Here's what you need to know about Windows 10 and Microsoft's new web browser http://bloom.bg/1umykCl ,
2015-01-21,Lakers top Forbes' most valuable NBA teams list at $2.6 billion,
2015-01-21,French newspaper Le Monde says Twitter account hacked,
2015-01-21,NBA-Lakers top Forbes' most valuable NBA teams list at $2.6 bln,
2015-01-22,"China says Microsoft Outlook hacking allegations groundless""""",
2015-01-22,Gates foundation sees huge gains against disease poverty by 2030, 
2015-01-23,Online data storage provider Box's shares soar in debut,
2015-01-24,Gates sees 'miracle' tools for AIDS by 2030 in vaccine and drugs,
2015-01-25,"Windows 10 will initially be free to users of Windows 7 or later versions, Microsoft says. http://on.wsj.com/1CL3V5n ",
2015-01-26,Why the Street is bullish on Microsoft today » http://cnb.cx/1Bf0a63 pic.twitter.com/5F8d7rTitP,
2015-01-26,"Microsoft profit falls on sluggish Windows demand, tax charge http://reut.rs/1DbNxLJ ",
2015-01-26,"Microsoft's core goes soft, as it focuses on cloud transition",
2015-01-26,"Microsoft beats estimates on cloud growth, Xbox http://bloom.bg/1yJAPnx ",
2015-01-26,Wall Street rises after Greek elections; energy climbs,
2015-01-26,US STOCKS-Wall St rises after Greek elections; energy climbs,
2015-01-26,India honours Bill Gates with civilian award,
2015-01-26,"Microsoft profit falls on sluggish Windows demand, tax charge",
2015-01-26,Microsoft sees currency cutting revenue growth by 4 pct this quarter,
2015-01-26,"Microsoft profit falls on sluggish Windows, currency pressure",
2015-01-26,It's virtual reality vs. real money for Microsoft: http://cnb.cx/1Bf5Cpw pic.twitter.com/2a2nfL6UAp,
2015-01-26,Microsoft sees currency cutting revenue growth by 4 percent this quarter,
2015-01-27,"US STOCKS-Wall St tumbles with Microsoft, Caterpillar; data weighs",
2015-01-27,"US STOCKS-Wall St falls on earnings, but indexes well off lows",
2015-01-27,US STOCKS-Wall St falls 1 pct on earnings; Apple rallies late,
2015-01-27,"US STOCKS-Futures tumble with Microsoft, Caterpillar; data weighs",
2015-01-27,GLOBAL MARKETS-Stocks fall as U.S. earnings disappoint; euro up vs dlr,
2015-01-27,"US STOCKS-Wall St ends down 1 pct on Caterpillar, Microsoft earnings",
2015-01-27,Nikkei slips from 1-mth high as U.S. earnings disappoint; Sony outperforms,
2015-01-27,"Gates, UK take lead in $7.5 billion pledge for children's vaccines",
2015-01-27,"U.S. multinationals hit hard by strong dollar, to bleed further into 2015",
2015-01-27,"CANADA STOCKS-TSX drops on Greek concerns, copper prices",
2015-01-27,Internet browser Vivaldi takes aim at tech savvy users,
2015-01-27,"Facebook takes blame for service outages, which hit wider Web",
2015-01-27,Multinational earnings hit hard by strong dollar,
2015-01-27,"Microsoft profit falls on sluggish Windows, currency pressure http://reut.rs/1DcH82E ",
2015-01-27,Wall Street falls 1 percent on earnings; Apple rallies late,
2015-01-27,"Gates, UK take lead in $7.5 bln pledge for children's vaccines",
2015-01-28,U.S. businesses urge China to postpone new cybersecurity policies,
2015-01-28,"Nintendo says slack console sales to hit operating profit, weak yen to lift bottom line",
2015-01-29,Seahawks have enjoyed plenty of riches since inception,
2015-01-29,India applies principle behind Vodafone tax ruling to other cases,
2015-01-29,"India's Vodafone decision eases tax worries for Shell, others",
2015-01-29,Microsoft gives away more Office software to attract mobile users,
2015-01-30,Dating site Topface says paid hacker to not sell stolen data,
2015-02-03,Alibaba's Jack Ma dethroned as China's richest by solar magnate: report,
2015-02-04,A report card for Satya Nadella's first year as Microsoft's CEO: http://cnb.cx/1u9bDXI pic.twitter.com/PjoF6lGfZI,
2015-02-04,"Microsoft is buying an iOS and Android calendar app maker for $100 million, source says http://bloom.bg/1zBk5OA ",
2015-02-04,Microsoft CEO Satya Nadella had a pretty good first year. His second year will be a lot harder http://bloom.bg/1DFaA1D pic.twitter.com/Apv18RzhCQ,
2015-02-04,"A year on as CEO, how Satya Nadella has turned Microsoft into the belle of the ball: http://on.wsj.com/1uYj0fx pic.twitter.com/9a1WYewQhm",
2015-02-05,Rob Cox: When CEOs are worth more as former CEOs,
2015-02-06,"Vivaldi browser hits 500,000 downloads in first 10 days",
2015-02-06,Breakingviews: Rob Cox: When CEOs are worth more as former CEOs,
2015-02-09,Microsoft’s bond sale is largest of the year at $10.75 billion: http://on.wsj.com/16HvWAg ,
2015-02-09,"Microsoft, Samsung settle contract dispute over patents",
2015-02-09,"Qualcomm pays $975 mln, resolves China antitrust dispute",
2015-02-09,Exclusive: Qualcomm nears $1 billion deal resolving China antitrust dispute,
2015-02-09,"TREASURIES-Prices rise as Greece, Ukraine worries fester",
2015-02-10,Forbes.com infected by hackers in campaign to spy on visitors-researchers,
2015-02-10,Why Apple and Microsoft are selling bonds http://bloom.bg/1ATP2AN ,
2015-02-10,Microsoft launches $10.75B six-tranche bond » http://cnb.cx/1uvIZ3a pic.twitter.com/zvGocM9JVk,
2015-02-10,TREASURIES-Prices off as 10-year yields hover near 2 pct,
2015-02-11,U.S. business lobby survey warns of China protectionism,
2015-02-11,"Smartphone theft drops in London, two U.S. cities as anti-theft 'kill switches' installed",
2015-02-11,Factbox: White House cybersecurity summit draws big CEO crowd,
2015-02-11,"Smartphone theft drops in London, 2 U.S. cities as anti-theft 'kill switches' installed",
2015-02-11,"Microsoft wants you to stop calling its stylus a stylus. ""We call the pen a pen."" http://on.wsj.com/1DYmZOk pic.twitter.com/k34DfW0XAp",
2015-02-11,Google just threatened to expose Apple and Microsoft's security flaws http://bloom.bg/1CVhxyM pic.twitter.com/8VJx6fXu5X,
2015-02-11,"Google to Apple, Microsoft: Fix your security flaws or we’ll make them public http://bloom.bg/1ChnnHH pic.twitter.com/NdsjCYrIwp",
2015-02-12,Microsoft buys Israeli digital pen maker N-trig: report,
2015-02-13,Bill Gates meets with China technology minister: ministry,
2015-02-13,"Interpublic revenue beats estimates, margins to improve",
2015-02-13,Alibaba's Jack Ma seeks to reassure employees over U.S. lawsuits,
2015-02-17,Earthquake early warning system begins testing in Pacific Northwest,
2015-02-18,InterDigital loses another round in patent fight,
2015-02-18,THAILAND PRESS-Ministry joins hands with Microsoft: The Nation,
2015-02-19,Lenovo installed software making laptops vulnerable to hacking: experts,
2015-02-20,Google wins dismissal of U.S. lawsuit over Android app limits,
2015-02-24,"Strong dollar hurts HP's earnings forecast, shares plummet",
2015-02-25,"Lenovo website breached, hacker group Lizard Squad claims responsibility",
2015-02-25,Hackers controlling millions of PCs disrupted in Europol sweep,
2015-02-26,Ex-managers say Microsoft retaliated after complaints of hostess bar expenses,
2015-02-27,China draft counterterror law strikes fear in foreign tech firms,
2015-03-01,Samsung unveils sleek new Galaxy phones to take on Apple,
2015-03-02,Ericsson joins with Intel to help telecoms firms get in the cloud,
2015-03-02,BlackBerry takes its device management platform to the cloud,
2015-03-02,Metals tycoon Potanin becomes Russia's richest man-Forbes,
2015-03-02,"CORRECTED-Bill Gates tops Forbes rich list, Michael Jordan joins",
2015-03-02,"Bill Gates tops Forbes rich list, Michael Jordan joins",
2015-03-02,Metals tycoon Potanin becomes Russia's richest man: Forbes,
2015-03-03,"Alibaba opens first U.S. cloud center, enters hotly contested market",
2015-03-03,"Wall St. falls from records, led by technology stocks",
2015-03-03,US STOCKS-Wall St falls from latest records; auto sales soft,
2015-03-03,EU's antitrust chief has met Google's Schmidt,
2015-03-04,China says tech firms have nothing to fear from anti-terror law,
2015-03-05,Gates Foundation makes its biggest-ever equity investment in German biotech,
2015-03-06,Microsoft warns Windows PCs also vulnerable to 'Freak' attacks,
2015-03-06,"Microsoft warns Windows PCs also vulnerable to ""Freak"" attacks",
2015-03-06,"At long last, Dow gets a taste for Apple",
2015-03-06,"Microsoft sues Kyocera over cell phones, seeks U.S. injunction",
2015-03-10,Higher tax bill eats into Barnes & Noble's profit,
2015-03-11,Cairn Energy disputes Indian taxman's $1.6 billion demand,
2015-03-11,"Cloud storage company Box reports bigger loss, shares fall",
2015-03-11,CORRECTED-UPDATE 1-Cloud storage company Box reports bigger loss,
2015-03-12,"Alibaba hiring in Amazon, Microsoft backyard as US cloud unit expands",
2015-03-12,UK foreign minister seeks India assurance after $1.6 billion Cairn tax bill,
2015-03-12,Target pressured on wages by group with focus but little to spend,
2015-03-12,"After first lab-grown burger, test-tube chicken is next on menu",
2015-03-13,"Japanese warship broke up as it sank near Philippines, researchers say",
2015-03-13,China puts tech bill that concerns West on hold: U.S. official,
2015-03-16,U.S. jury clears Apple of infringing wireless tech patents,
2015-03-16,Facebook report shows slight rise in government requests for data,
2015-03-17,CORRECTED-U.S. judge taps lead lawyers for Takata air bag cases,
2015-03-17,Microsoft tackles China piracy with free upgrade to Windows 10,
2015-03-17,Ford turns back to Microsoft to build connected-car services,
2015-03-17,Rob Cox: If only GE had an activist who cared,
2015-03-17,Orange will take time to review options on Dailymotion,
2015-03-17,Currency swings cost U.S. corporates $18.66 billion in the fourth quarter: study,
2015-03-17,Currency swings cost U.S. corporates $18.66 bln in Q4: study,
2015-03-17,U.S. judge taps lead lawyers for Takata air bag cases,
2015-03-18,Microsoft must face Xbox 360 class action claims,
2015-03-18,Microsoft must face class action claims over alleged Xbox defect,
