Entities,Entity ID,Actual Entity
21Vianet,Q25230554,
Accenture,Q338825,
AI,Q11660,
Activist Shareholders,Q2823717,
Adobe,Q11463,
Advert business,Q216931,advertising agency 
advert fraud rate,Q28813,fraud
Africa,Q15,
Alibaba,Q1359568,
Alphabet Inc,Q20800404,
Alzheimer disease,Q11081,
Amancio Ortega,Q29279,
Amazon cloud Services,Q456157,Amazon Web Services
Amazon Macie,Q456158,Amazon Web Services
American Express,Q194360,
analysts,Q57380148,Buy/Sell-Side Analysts
Android,Q94,
US Appeals Court,Q11991268,New York Court of Appeals
Apple Inc.,Q312,
arbitration,Q207946,
ARM Processor,Q16980,ARM architecture 
Asia,Q48,
AT&T,Q35476,
Atlassian Corp,Q757307,
cyberattack,Q4071928,cyberattack
Attunity,Q923062,Qlik
Australia,Q3960,
Avere Systems,Q16822168,
Axway Software Ltd,Q30644014,Axway Software
Azure,Q725967,Microsoft Azure
Baidu,Q14772,
Baltic Cable,Q314180,
bankruptcy,Q152074,
charity,Q1077064,charity 
BarnesNoble,Q795454,Barnes & Noble
bathroom bill,Q24964968,
Bausch Health,Q1700871,
Beijing,Q956,
Belgian Court,Q7888559,court of assizes 
Big Tobacco,Q4906580,
Bill Gates,Q5284,
Bing,Q182496,Microsoft Bing
biotech,Q7108,biotechnology 
Board Directors,Q188628,board of directors
BlackBerry,Q502121,
BlackRock Inc.,Q219635,BlackRock 
 AdBlock browser,Q867758,AdBlock 
BNP Paribas,Q499707,
Eurobond,Q632059,
Bond Market,Q540626,bond market
Satya Nadella,Q7426870,
Harper Business,Q3127696,Harper 
Bosch,Q234021,Robert Bosch GmbH
bug bounty,Q16848759,bug bounty program
Bouygues Telecom,Q581438,
Box Inc,Q4951483,Box 
Brazil,Q155,
Brexit,Q7888194,
Britain,Q161885,Great Britain
bugs findings,Q64981993,Finding Bugs in Cryptographic Hash Function
business,Q4830453,
business apps,Q1932945,business software 
Business news section,Q189507,Internet marketing 
revenue growth,Q81629287,
business sale,Q194189,sales
Business Survey,Q16933547,Survey of Current Business
businesses product,Q1318054,enterprise software 
buying spree,Q77848185,
calendar app,Q27928931,
Calling Feature,Q4485156,software feature
camera,Q15328,
Campaigns,Q18812548,
Canada,Q16,
cancer,Q12078,
Cape Town,Q5465,
case dismissal,Q77574345,Supreme Court: dismissal
cashfree,Q27968830,cashless society
Cashless Retail System,Q27968830,cashless society
censorship rules,Q543,censorship 
CEO,Q484876,
Chan Zuckerberg,Q21623039,Chan Zuckerberg Initiative 
Chevron,Q319642,Chevron Corporation 
children vaccines,Q56978778,Vaccines for children
China,Q148,
Chinese,Q7850,
chip prices,Q5417841,Everyday low price
chipdesign patches,Q208218,patch 
Chris Liddell,Q5107236,
CIA,Q37230,
Cisco,Q173395,Cisco Systems 
Clean Technology,Q1099456,
Clinton,Q6294,Hillary Clinton 
cloud assets,Q3075818,business assets
cloud computing,Q483639,
cloud content,Q57562431,Controlling illegal and harmful content on the internet
cloud contract,Q93288,contract 
cloud growth,Q77663572,Business growth through strategic planning
cloud security,Q370563,cloud computing security
CloudOn,Q783794,a company 
CNH Industrial,,
Code update,,
collaboration features,,
company,,
computing partnerships,,
conflict concerns,,
consolidation,,
Consumer Discretionary Stocks,,
Consumer Reports,,
Corporation shares,,
counterterror law,,
