,ent1PC1,ent1PC2,ent2PC1,ent2PC2
0,0.22397983,0.2605273,0.018173698,0.22069609
1,0.39602467,0.12371223,-0.03343832,0.31431836
2,-0.033738017,0.14538771,-0.0019604976,0.22562453
3,-0.061626762,0.18060802,0.04161321,-0.13770586
4,0.1472767,-0.23795305,-0.3214991,0.33500034
5,-0.2583439,-0.10516376,-0.20038547,-0.1468514
6,-0.19152172,0.052377157,-0.19305734,0.15846702
7,0.06773725,0.37813944,0.5207505,0.03370476
8,0.056601953,0.42029783,0.14282379,0.49141952
9,-0.2583439,-0.10516376,-0.21981382,-0.33886257
10,-0.2138168,0.16941692,-0.22110175,0.15999621
11,0.13417484,-0.07493912,0.113408156,0.33690697
12,-0.2583439,-0.10516376,-0.058200784,-0.38434517
13,-0.2583439,-0.10516376,0.111160204,0.13677624
14,0.65882194,-0.1744099,0.4204253,-0.35463485
15,-0.2583439,-0.10516376,-0.20105332,-0.06729667
16,-0.041937344,0.098901406,-0.20038544,-0.14685136
17,-0.2583439,-0.10516376,0.36617473,-0.017046146
18,-0.20091216,-0.1937906,-0.07726515,0.51287603
19,-0.4429655,-0.39072967,-0.4539704,-0.027352717
20,-0.33551887,-0.21754137,-0.34504297,0.01704021
21,0.3291419,0.6402627,0.3174147,0.10920152
22,0.36836854,0.37476164,0.19009495,0.13883358
23,-0.15839203,0.03973292,0.3389454,0.1394468
24,-0.0818049,0.013904528,0.5826927,0.33698857
25,0.19148695,-0.08511716,-0.033314247,0.03172877
26,-0.37808067,-0.035550196,-0.04370239,-0.07299854
27,-0.15839203,0.03973292,-0.13335547,0.19449304
28,0.056601953,0.42029783,0.3462637,-0.07886305
29,-0.2583439,-0.10516376,0.07610233,-0.22613108
30,0.19910818,0.08229668,0.3032326,0.47271007
31,-0.37347344,0.033698205,0.515932,-0.11448059
32,0.016088469,0.42332885,-0.0019909039,0.06579312
33,-0.15839203,0.03973292,0.23225659,-0.4819289
34,-0.15879922,-0.029628174,-0.3930479,0.001907234
35,-0.15879922,-0.029628174,-0.0042005815,-0.095184416
36,0.056601953,0.42029783,0.35153565,0.35867006
37,-0.23447002,0.122648165,-0.34504297,0.01704021
38,-0.16516015,0.21043514,-0.15255187,-0.052170616
39,0.28137103,0.4854456,0.45507523,0.12355635
40,-0.2583439,-0.10516376,-0.31847665,-0.26525146
41,-0.37808067,-0.035550196,-0.59537697,0.0073040375
42,-0.2583439,-0.10516376,0.31337497,0.22866395
43,-0.33551887,-0.21754137,-0.34504297,0.01704021
44,0.06913493,-0.2037298,-0.1800367,0.28322548
45,-0.2583439,-0.10516376,0.3048365,-0.06065693
46,0.03977873,-0.13529395,-0.13335547,0.19449304
47,-0.36208153,0.3750525,0.04725109,0.23156257
48,0.065066025,0.38799337,0.083669044,0.50612354
49,-0.082180455,-0.20110951,-0.26256254,0.3207338
50,0.16400068,0.5181166,0.5207505,0.03370476
